RegionName,SizeRank,2010-12,2011-04,2011-08,2011-12,2012-04,2012-08,2012-12,2013-04,2013-08,2013-12,2014-04,2014-08,2014-12,2015-04,2015-08,2015-12,2016-04,2016-08
Utah,34,,0.796667094,0.85,0.797546012,0.811378507,0.796398892,0.795228628,0.83125,0.872093023,0.84736315,0.838709677,0.864204784,0.873108265,0.892857143,0.881776993,0.886524823,0.898371701,0.955734406
Nevada,35,0.733606557,0.744184787,0.747328214,0.731058549,0.729040097,0.722853703,0.714285714,0.724696356,0.727911647,0.717812892,0.723514212,0.737786889,0.729193893,0.757575758,0.770144524,0.768849206,0.792910448,0.807983781
New Mexico,36,0.688263265,0.718401178,0.708274315,0.690104167,0.717952166,0.714285714,0.710881652,0.718311424,0.71969697,0.696594427,0.702576112,0.706534539,0.700211119,0.725184651,0.73466275,0.728376395,0.731261426,0.748463631
West Virginia,37,0.705645161,0.71884984,0.718117326,0.685307018,0.694444444,0.718015666,0.710714286,0.733445096,0.727272727,0.708383514,0.696517413,0.735294118,0.748745094,0.772934174,0.756565657,0.744047619,0.786369594,0.755007818
Nebraska,38,0.766746317,0.8,0.777027027,0.749348958,0.78814628,0.768196203,0.782520403,0.8403634,0.843239149,0.837154509,0.817138365,0.866227161,0.87622549,0.87962963,0.874635569,0.857687421,0.889121339,0.919803116
Idaho,39,,,0.63216864,0.604347826,0.642023346,0.644483694,0.65,0.675,0.68762279,0.665024631,0.678087081,0.696611081,0.69047619,0.713981374,0.7265562,0.705173636,0.739875389,0.760869565
Hawaii,40,,2.173913043,2,1.969057665,2.054020994,2.037963954,2.170138889,2.236842105,2.123893805,2.101449275,2.094972067,2.181020787,2.281329198,2.426698786,2.34375,2.296587927,2.4,2.367941712
Maine,41,,,0.855855856,0.969387755,1.157745808,0.921568627,0.956,0.967261905,1,0.954888493,0.948457453,1.041666667,1.051594844,1.068037975,1.071428571,1.030444965,1.215948276,1.1
New Hampshire,42,0.929487179,1.060426728,1.059850374,1.045400239,1.078680203,1.04049447,1.064815166,1.104354412,1.091883117,1.089918256,1.087758112,1.084579266,1.049468132,1.099656357,1.097048713,1.117318436,1.150895141,1.157574905
Rhode Island,43,,,,1.2,1.215783552,1.219512195,1.285046729,1.26898678,1.220703125,1.219512195,1.235294118,1.272577997,1.263157895,1.41509434,1.303207841,1.333333333,1.445371849,1.378549585
Montana,44,,,0.833333333,0.84358186,0.849044185,0.911764706,0.825495595,0.870263425,0.884118037,0.816186557,0.85,0.92461069,0.84087969,0.885167464,0.930309012,0.893818617,0.923874894,0.951974201
Delaware,45,0.794281176,0.782616972,0.819672131,0.832251082,0.817373461,0.800641026,0.807017544,0.825396825,0.84,0.838917897,0.829081633,0.83605917,0.841342487,0.852459016,0.865268253,0.854285714,0.875,0.868421053
South Dakota,46,,,,,,,,,,0.757575758,0.723429952,0.777777778,0.83045977,0.910644247,0.83449235,0.845410628,0.872042068,0.859468006
Alaska,47,,1.115241636,1.101141925,1.109603907,1.143451143,1.112517581,1.113176373,1.204510507,1.188257223,1.168407311,1.136795303,1.215917465,1.239669421,1.23964497,1.227272727,1.207410566,1.216216216,1.220256254
North Dakota,48,,,,,,,,,,,,,0.980672533,1.164580791,1.188946015,0.954861111,0.937952899,0.878293601
Vermont,49,,,,,,,,,,,,,,1.357142857,1.301524562,1.280737705,1.187830688,1.310825472
District of Columbia,50,2.345679012,2.399125186,2.450980392,2.436224775,2.538173284,2.400548697,2.848310166,2.941176471,2.867528271,2.704292528,2.588235294,2.680221811,2.689243028,2.863984674,2.901353965,2.787076163,2.896144558,2.881152461
Wyoming,51,,,,,,0.809716599,0.858024691,0.869354368,0.81875,0.852499512,0.868055556,0.929614874,0.935207497,0.936692506,0.942117793,0.902380952,0.905427632,0.975609756
