STATE,NAME,abbr,POPESTIMATE1996,POPESTIMATE1997,POPESTIMATE1998,POPESTIMATE1999,POPESTIMATE2000,POPESTIMATE2001,POPESTIMATE2002,POPESTIMATE2003,POPESTIMATE2004,POPESTIMATE2005,POPESTIMATE2006,POPESTIMATE2007,POPESTIMATE2008,POPESTIMATE2009,POPESTIMATE2010,POPESTIMATE2011,POPESTIMATE2012,POPESTIMATE2013,POPESTIMATE2014,POPESTIMATE2015,POPESTIMATE2016
26,Michigan,MI,"9,739,184","9,785,450","9,820,231","9,863,775","9,952,450","9,991,120","10,015,710","10,041,152","10,055,315","10,051,137","10,036,081","10,001,284","9,946,889","9,901,591","9,877,369","9,876,589","9,886,879","9,900,506","9,916,306","9,922,576","9,928,846"
27,Minnesota,MN,"4,647,723","4,687,726","4,726,411","4,775,508","4,933,692","4,982,796","5,018,935","5,053,572","5,087,713","5,119,598","5,163,555","5,207,203","5,247,018","5,281,203","5,310,903","5,348,119","5,380,443","5,420,541","5,457,125","5,489,594","5,522,063"
28,Mississippi,MS,"2,709,925","2,731,826","2,751,335","2,768,619","2,848,353","2,852,994","2,858,681","2,868,312","2,889,010","2,905,943","2,904,978","2,928,350","2,947,806","2,958,774","2,970,316","2,977,999","2,985,660","2,990,976","2,993,443","2,992,333","2,991,223"
29,Missouri,MO,"5,367,888","5,407,113","5,437,562","5,468,338","5,607,285","5,641,142","5,674,825","5,709,403","5,747,741","5,790,300","5,842,704","5,887,612","5,923,916","5,961,088","5,996,052","6,010,587","6,025,468","6,043,708","6,063,827","6,083,672","6,103,517"
30,Montana,MT,"876,656","878,706","879,533","882,779","903,773","906,961","911,667","919,630","930,009","940,102","952,692","964,706","976,415","983,982","990,643","997,746","1,005,157","1,014,402","1,023,252","1,032,949","1,042,646"
31,Nebraska,NE,"1,647,657","1,656,042","1,660,772","1,666,028","1,713,820","1,719,836","1,728,292","1,738,643","1,749,370","1,761,497","1,772,693","1,783,440","1,796,378","1,812,683","1,830,025","1,842,383","1,855,973","1,869,300","1,882,980","1,896,190","1,909,400"
32,Nevada,NV,"1,596,476","1,675,581","1,743,772","1,809,253","2,018,741","2,098,399","2,173,791","2,248,850","2,346,222","2,432,143","2,522,658","2,601,072","2,653,630","2,684,665","2,703,440","2,718,819","2,754,874","2,790,366","2,838,281","2,890,845","2,943,409"
33,New Hampshire,NH,"1,160,768","1,173,239","1,185,823","1,201,134","1,239,882","1,255,517","1,269,089","1,279,840","1,290,121","1,298,492","1,308,389","1,312,540","1,315,906","1,316,102","1,316,708","1,318,344","1,321,393","1,322,660","1,327,996","1,330,608","1,333,220"
34,New Jersey,NJ,"8,009,624","8,054,178","8,095,542","8,143,412","8,430,621","8,492,671","8,552,643","8,601,402","8,634,561","8,651,974","8,661,679","8,677,885","8,711,090","8,755,602","8,803,881","8,842,934","8,874,893","8,907,384","8,938,844","8,958,013","8,977,182"
35,New Mexico,NM,"1,706,151","1,722,939","1,733,535","1,739,844","1,821,204","1,831,690","1,855,309","1,877,574","1,903,808","1,932,274","1,962,137","1,990,070","2,010,662","2,036,802","2,064,741","2,078,226","2,084,792","2,086,890","2,085,567","2,085,109","2,084,651"
36,New York,NY,"18,143,805","18,143,184","18,159,175","18,196,601","19,001,780","19,082,838","19,137,800","19,175,939","19,171,567","19,132,610","19,104,631","19,132,335","19,212,436","19,307,066","19,402,920","19,523,202","19,606,981","19,691,032","19,748,858","19,795,791","19,842,724"
37,North Carolina,NC,"7,307,658","7,428,672","7,545,828","7,650,789","8,081,614","8,210,122","8,326,201","8,422,501","8,553,152","8,705,407","8,917,270","9,118,037","9,309,449","9,449,566","9,558,979","9,651,025","9,747,021","9,845,432","9,940,387","10,042,802","10,145,217"
38,North Dakota,ND,"642,858","640,945","637,808","633,666","642,023","639,062","638,168","638,817","644,705","646,089","649,422","652,822","657,569","664,968","674,530","685,326","702,265","723,626","740,040","756,927","773,814"
39,Ohio,OH,"11,187,032","11,212,498","11,237,752","11,256,654","11,363,543","11,387,404","11,407,889","11,434,788","11,452,251","11,463,320","11,481,213","11,500,468","11,515,391","11,528,896","11,540,766","11,545,442","11,551,783","11,572,232","11,596,998","11,613,423","11,629,848"
40,Oklahoma,OK,"3,289,634","3,314,259","3,339,478","3,358,044","3,454,365","3,467,100","3,489,080","3,504,892","3,525,233","3,548,597","3,594,090","3,634,349","3,668,976","3,717,572","3,759,596","3,786,626","3,817,679","3,853,405","3,879,610","3,911,338","3,943,066"
41,Oregon,OR,"3,195,087","3,243,254","3,282,055","3,316,154","3,429,708","3,467,937","3,513,424","3,547,376","3,569,463","3,613,202","3,670,883","3,722,417","3,768,748","3,808,600","3,837,972","3,868,509","3,899,444","3,928,030","3,971,202","4,028,977","4,086,752"
42,Pennsylvania,PA,"12,038,008","12,015,888","12,002,329","11,994,016","12,284,173","12,298,970","12,331,031","12,374,658","12,410,722","12,449,990","12,510,809","12,563,937","12,612,285","12,666,858","12,712,014","12,745,202","12,772,789","12,783,536","12,793,767","12,802,503","12,811,239"
44,Rhode Island,RI,"987,858","986,966","987,704","990,819","1,050,268","1,057,142","1,065,995","1,071,342","1,074,579","1,067,916","1,063,096","1,057,315","1,055,003","1,053,646","1,053,219","1,051,856","1,052,393","1,052,856","1,054,907","1,056,298","1,057,689"
